id,question,expected_source,top_1_source,hit_at_5,retrieved_sources
1,ما هو المقصود بنسبة 0.0025 المقررة بالمادة 40 من قانون التأمين الصحي الشامل؟,health_contribution,fatwa,False,fatwa | income_tax | income_tax | income_tax | income_tax
74,ما المقصود بالاستفسار في جدول الفتاوى؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | law_2025
75,ما المقصود بالرد على الاستفسار في الفتوى؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
76,هل توجد فتوى عن توريد الخدمات؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
77,هل توجد فتوى عن خصم ضريبة القيمة المضافة؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
78,ما الفتوى المتعلقة بالتسجيل في ضريبة القيمة المضافة؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
79,ما الفتوى الخاصة بالفواتير الضريبية؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
80,ما الفتوى المتعلقة بالخدمات المعفاة؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
81,ما الفتوى المتعلقة بالسلع الخاضعة للضريبة؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | income_tax
82,هل توجد فتوى عن رد الضريبة؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
83,ما الفتوى الخاصة بالمقاولات؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
84,هل توجد فتوى عن النشاط التجاري والقيمة المضافة؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | fatwa | fatwa
85,ما الفتوى المتعلقة بالممولين المسجلين؟,fatwa,fatwa,True,fatwa | fatwa | fatwa | law_2025 | fatwa
86,ما أهم الأحكام الواردة في قانون 2025؟,law_2025,law_2025,True,law_2025 | income_tax | health_contribution | income_tax | income_tax
87,ما الهدف من القانون الصادر سنة 2025؟,law_2025,income_tax,True,income_tax | law_2025 | income_tax | health_contribution | income_tax
88,ما نطاق تطبيق قانون 2025؟,law_2025,income_tax,True,income_tax | income_tax | health_contribution | law_2025 | income_tax
89,ما الالتزامات التي يفرضها قانون 2025؟,law_2025,law_2025,True,law_2025 | income_tax | health_contribution | income_tax | income_tax
90,هل يتضمن قانون 2025 تعديلات ضريبية؟,law_2025,law_2025,True,law_2025 | health_contribution | income_tax | income_tax | income_tax
91,ما أثر قانون 2025 على الممولين؟,law_2025,income_tax,True,income_tax | law_2025 | income_tax | health_contribution | income_tax
92,ما المواد الرئيسية في قانون 2025؟,law_2025,law_2025,True,law_2025 | income_tax | health_contribution | income_tax | income_tax
93,كيف يطبق قانون 2025 على الحالات الضريبية؟,law_2025,law_2025,True,law_2025 | health_contribution | income_tax | income_tax | income_tax
94,ما العلاقة بين قانون 2025 والقوانين الضريبية الأخرى؟,law_2025,law_2025,True,law_2025 | health_contribution | income_tax | income_tax | income_tax
95,هل توجد أحكام انتقالية في قانون 2025؟,law_2025,law_2025,True,law_2025 | health_contribution | income_tax | income_tax | income_tax
96,ما العقوبات أو الجزاءات في قانون 2025؟,law_2025,law_2025,True,law_2025 | income_tax | health_contribution | income_tax | income_tax
97,ما الإعفاءات أو الاستثناءات في قانون 2025؟,law_2025,law_2025,True,law_2025 | income_tax | health_contribution | income_tax | income_tax
98,ما الجهة المختصة بتطبيق قانون 2025؟,law_2025,income_tax,True,income_tax | health_contribution | law_2025 | income_tax | income_tax
99,ما المقصود بالأحكام العامة في قانون 2025؟,law_2025,law_2025,True,law_2025 | health_contribution | income_tax | income_tax | income_tax
100,كيف يتم تفسير مواد قانون 2025؟,law_2025,income_tax,True,income_tax | law_2025 | health_contribution | income_tax | income_tax
