id,question,expected_source
75,ما المقصود بالرد على الاستفسار في الفتوى؟,fatwa
76,هل توجد فتوى عن توريد الخدمات؟,fatwa
77,هل توجد فتوى عن خصم ضريبة القيمة المضافة؟,fatwa
78,ما الفتوى المتعلقة بالتسجيل في ضريبة القيمة المضافة؟,fatwa
79,ما الفتوى الخاصة بالفواتير الضريبية؟,fatwa
80,ما الفتوى المتعلقة بالخدمات المعفاة؟,fatwa
81,ما الفتوى المتعلقة بالسلع الخاضعة للضريبة؟,fatwa
82,هل توجد فتوى عن رد الضريبة؟,fatwa
83,ما الفتوى الخاصة بالمقاولات؟,fatwa
84,هل توجد فتوى عن النشاط التجاري والقيمة المضافة؟,fatwa
85,ما الفتوى المتعلقة بالممولين المسجلين؟,fatwa
86,ما أهم الأحكام الواردة في قانون 2025؟,law_2025
87,ما الهدف من القانون الصادر سنة 2025؟,law_2025
88,ما نطاق تطبيق قانون 2025؟,law_2025
89,ما الالتزامات التي يفرضها قانون 2025؟,law_2025
90,هل يتضمن قانون 2025 تعديلات ضريبية؟,law_2025
91,ما أثر قانون 2025 على الممولين؟,law_2025
92,ما المواد الرئيسية في قانون 2025؟,law_2025
93,كيف يطبق قانون 2025 على الحالات الضريبية؟,law_2025
94,ما العلاقة بين قانون 2025 والقوانين الضريبية الأخرى؟,law_2025
95,هل توجد أحكام انتقالية في قانون 2025؟,law_2025
96,ما العقوبات أو الجزاءات في قانون 2025؟,law_2025
97,ما الإعفاءات أو الاستثناءات في قانون 2025؟,law_2025
98,ما الجهة المختصة بتطبيق قانون 2025؟,law_2025
99,ما المقصود بالأحكام العامة في قانون 2025؟,law_2025
100,كيف يتم تفسير مواد قانون 2025؟,law_2025
